
User id,Date,DDA,Game complete,Time played (s),Power Ups Collected,Power Ups Produced,Lives Lost,Bricks hit,Paddle hit,PowerUp P,ExtraRed P,ExtraYellow P,Enlarge paddle collected,Enlarge paddle produced,Speed up collected,Speed up produced,Slow down collected,Slow down produced,Shrink paddle collected,Shrink paddle produced
2,Thu Mar 21 12:40:17 GMT 2013,false,true,132,9,19,1,49,202,0.4,0.0,0.0,2,4,3,4,2,7,2,4
2,Thu Mar 21 12:42:36 GMT 2013,false,false,189,25,28,1,82,114,0.4,0.0,0.0,5,6,5,5,6,7,7,10
2,Thu Mar 21 12:45:51 GMT 2013,false,true,230,26,29,5,106,108,0.4,0.0,0.0,5,5,6,7,5,8,6,9
2,Thu Mar 21 12:49:48 GMT 2013,false,false,59,12,16,2,39,264,0.4,0.0,0.0,1,2,5,6,3,5,1,3
3,Thu Mar 21 13:47:38 GMT 2013,true,true,191,38,66,6,108,161,0.4,0.3,0.0,6,17,7,11,7,18,15,20
3,Thu Mar 21 13:51:03 GMT 2013,true,true,147,37,52,4,107,137,0.4,0.3,0.3,8,16,10,17,4,9,10,10
3,Thu Mar 21 13:53:37 GMT 2013,true,false,5,1,3,1,3,1,0.4,0.0,0.0,0,1,1,1,0,1,0,0
3,Thu Mar 21 13:53:44 GMT 2013,true,false,3,0,0,0,2,2,0.4,0.0,0.0,0,0,0,0,0,0,0,0
3,Thu Mar 21 13:55:01 GMT 2013,true,true,163,41,50,5,105,140,0.4,0.2,0.2,14,19,6,7,6,11,10,13
3,Thu Mar 21 13:57:49 GMT 2013,true,false,6,2,1,1,6,3,0.4,0.0,0.0,0,0,1,1,0,0,1,0
3,Thu Mar 21 13:57:57 GMT 2013,true,true,136,43,45,4,108,187,0.4,0.3,0.2,7,13,14,13,3,8,12,11
4,Thu Mar 21 14:09:26 GMT 2013,false,true,243,26,37,5,107,116,0.4,0.0,0.0,7,14,5,7,7,10,6,6
4,Thu Mar 21 14:14:00 GMT 2013,false,true,155,20,35,4,107,48,0.4,0.0,0.0,2,8,9,10,1,7,8,10
4,Thu Mar 21 14:16:59 GMT 2013,false,false,7,2,2,0,3,2,0.4,0.0,0.0,0,0,0,0,2,2,0,0
4,Thu Mar 21 14:18:08 GMT 2013,false,false,15,2,2,1,6,49,0.4,0.0,0.0,1,1,1,0,0,0,0,1
4,Thu Mar 21 14:18:25 GMT 2013,false,false,13,1,1,1,6,6,0.4,0.0,0.0,1,1,0,0,0,0,0,0
4,Thu Mar 21 14:18:39 GMT 2013,false,false,17,7,7,1,12,12,0.4,0.0,0.0,3,3,1,1,1,1,2,2
4,Thu Mar 21 14:18:57 GMT 2013,false,false,7,2,2,1,7,4,0.4,0.0,0.0,0,0,2,2,0,0,0,0
4,Thu Mar 21 14:19:06 GMT 2013,false,false,57,11,16,1,48,34,0.4,0.0,0.0,3,2,3,7,4,4,0,3
4,Thu Mar 21 14:20:04 GMT 2013,false,false,30,2,3,1,22,13,0.4,0.0,0.0,0,0,1,2,1,1,0,0
4,Thu Mar 21 14:20:36 GMT 2013,false,false,26,5,7,1,18,16,0.4,0.0,0.0,2,3,2,3,1,1,0,0
4,Thu Mar 21 14:21:04 GMT 2013,false,true,183,18,34,1,107,67,0.4,0.0,0.0,5,10,2,11,3,5,6,8
5,Thu Mar 21 14:31:25 GMT 2013,true,true,184,35,51,2,105,123,0.4,0.1,0.3,9,12,4,12,7,12,10,15
6,Thu Mar 21 14:40:35 GMT 2013,false,true,185,32,44,0,105,125,0.4,0.0,0.0,10,11,11,11,6,9,3,13
7,Thu Mar 21 14:50:16 GMT 2013,true,true,272,55,80,1,105,161,0.4,0.0,0.3,20,30,4,9,24,34,3,7
7,Thu Mar 21 14:55:24 GMT 2013,true,false,48,7,14,2,32,31,0.4,0.1,0.0,0,2,2,3,2,6,3,3
7,Thu Mar 21 14:56:13 GMT 2013,true,false,25,7,7,2,20,30,0.4,0.0,0.0,2,2,1,1,1,1,2,3
7,Thu Mar 21 14:56:40 GMT 2013,true,true,217,46,79,2,105,154,0.4,0.3,0.3,15,29,9,12,15,32,3,6
8,Thu Mar 21 15:10:23 GMT 2013,false,true,190,35,42,8,106,117,0.4,0.0,0.0,10,12,5,9,8,9,11,12
9,Thu Mar 21 15:36:01 GMT 2013,false,true,158,23,37,6,104,166,0.4,0.0,0.0,6,12,4,10,4,7,8,8
9,Thu Mar 21 15:39:03 GMT 2013,false,true,164,34,33,4,104,453,0.4,0.0,0.0,9,10,6,8,5,6,8,9
9,Thu Mar 21 15:42:30 GMT 2013,false,true,190,34,35,3,107,544,0.4,0.0,0.0,12,11,9,9,3,6,5,9
10,Thu Mar 21 15:58:17 GMT 2013,true,true,154,42,65,8,106,97,0.4,0.3,0.2,11,24,9,13,8,20,9,8
10,Thu Mar 21 16:01:06 GMT 2013,true,true,200,32,60,4,105,257,0.4,0.2,0.3,12,21,7,18,6,15,4,6
10,Thu Mar 21 16:04:39 GMT 2013,true,false,1,0,0,0,0,0,0.4,0.0,0.0,0,0,0,0,0,0,0,0
11,Thu Mar 21 16:11:18 GMT 2013,false,true,163,30,35,3,107,176,0.4,0.0,0.0,7,7,7,10,3,6,11,12
12,Thu Mar 21 16:22:55 GMT 2013,true,false,180,70,87,5,104,195,0.4,0.3,0.3,21,28,7,10,23,34,14,15
13,Thu Mar 21 16:31:06 GMT 2013,false,true,191,21,0,5,106,147,0.4,0.0,0.0,9,0,2,0,4,0,4,0
14,Thu Mar 21 16:38:56 GMT 2013,true,false,44,1,5,1,15,9,0.4,0.0,0.0,0,0,1,2,0,2,0,1
14,Thu Mar 21 16:39:41 GMT 2013,true,false,99,17,45,3,77,154,0.4,0.0,0.2,9,16,3,9,1,9,3,11
14,Thu Mar 21 16:41:22 GMT 2013,true,true,174,22,40,5,106,131,0.4,0.0,0.3,8,12,1,9,6,10,3,9
15,Thu Mar 21 16:51:00 GMT 2013,true,true,169,17,48,3,106,67,0.4,0.1,0.0,6,14,4,11,4,12,3,11
15,Thu Mar 21 16:54:00 GMT 2013,true,true,189,28,84,1,106,242,0.4,0.0,0.2,14,33,2,14,12,26,0,11
15,Thu Mar 21 16:57:20 GMT 2013,true,false,54,5,16,1,43,49,0.4,0.0,0.0,0,2,1,1,3,7,1,6
15,Thu Mar 21 16:58:16 GMT 2013,true,true,200,48,99,0,106,81,0.4,0.0,0.3,22,42,1,9,23,42,1,6
16,Thu Mar 21 17:11:32 GMT 2013,true,false,116,14,0,5,63,48,0.4,0.0,0.0,3,0,1,0,5,0,5,0
16,Thu Mar 21 17:13:47 GMT 2013,true,true,151,12,36,4,109,140,0.4,0.0,0.1,1,7,2,11,5,9,3,9
17,Thu Mar 21 17:23:00 GMT 2013,true,true,239,23,71,11,107,90,0.4,0.3,0.0,4,21,7,11,5,27,6,12
18,Thu Mar 21 17:32:40 GMT 2013,true,true,257,88,105,7,105,258,0.4,0.0,0.3,45,47,4,7,34,40,2,11
19,Thu Mar 21 17:43:15 GMT 2013,true,true,190,40,76,3,104,106,0.4,0.1,0.3,14,30,2,9,17,27,6,10
19,Thu Mar 21 17:46:39 GMT 2013,true,true,202,35,95,5,107,246,0.4,0.0,0.2,13,31,2,9,15,39,4,16
